cluster
adminname,"['AST_VAR', 'dfsms/profile.php', 13, 'AST_DIM', 'dfsms/profile.php', 13, 'AST_VAR', 'dfsms/profile.php', 16]"
emailid,"['AST_VAR', 'dfsms/profile.php', 14, 'AST_DIM', 'dfsms/profile.php', 14, 'AST_VAR', 'dfsms/profile.php', 16]"
mobileno,"['AST_VAR', 'dfsms/profile.php', 15, 'AST_VAR', 'dfsms/profile.php', 16, 'AST_DIM', 'dfsms/search-product.php', 63]"
mobilenumber,"['AST_DIM', 'dfsms/profile.php', 15]"
query,"['AST_VAR', 'dfsms/profile.php', 16, 'AST_VAR', 'dfsms/profile.php', 17, 'AST_VAR', 'dfsms/profile.php', 84, 'AST_VAR', 'dfsms/profile.php', 85, 'AST_VAR', 'dfsms/sales-report-details.php', 11, 'AST_VAR', 'dfsms/sales-report-details.php', 86, 'AST_VAR', 'dfsms/sales-report-details.php', 88, 'AST_VAR', 'dfsms/sales-report-ds.php', 13, 'AST_VAR', 'dfsms/sales-report-ds.php', 14, 'AST_VAR', 'dfsms/add-category.php', 14, 'AST_VAR', 'dfsms/add-category.php', 15, 'AST_VAR', 'dfsms/add-company.php', 13, 'AST_VAR', 'dfsms/add-company.php', 14, 'AST_VAR', 'dfsms/add-product.php', 16, 'AST_VAR', 'dfsms/add-product.php', 17, 'AST_VAR', 'dfsms/bwdate-report-details.php', 11, 'AST_VAR', 'dfsms/bwdate-report-details.php', 90, 'AST_VAR', 'dfsms/bwdate-report-details.php', 92, 'AST_VAR', 'dfsms/invoice.php', 11, 'AST_VAR', 'dfsms/invoice.php', 77, 'AST_VAR', 'dfsms/invoice.php', 79, 'AST_VAR', 'dfsms/invoice.php', 116, 'AST_VAR', 'dfsms/invoice.php', 118, 'AST_VAR', 'dfsms/invoices.php', 11, 'AST_VAR', 'dfsms/invoices.php', 84, 'AST_VAR', 'dfsms/invoices.php', 86, 'AST_VAR', 'dfsms/manage-categories.php', 11, 'AST_VAR', 'dfsms/manage-categories.php', 82, 'AST_VAR', 'dfsms/manage-categories.php', 84, 'AST_VAR', 'dfsms/edit-category.php', 15, 'AST_VAR', 'dfsms/edit-company.php', 14, 'AST_VAR', 'dfsms/edit-company.php', 79, 'AST_VAR', 'dfsms/edit-company.php', 81, 'AST_VAR', 'dfsms/edit-product.php', 17, 'AST_VAR', 'dfsms/edit-product.php', 80, 'AST_VAR', 'dfsms/edit-product.php', 81, 'AST_VAR', 'dfsms/manage-companies.php', 11, 'AST_VAR', 'dfsms/manage-companies.php', 82, 'AST_VAR', 'dfsms/manage-companies.php', 84, 'AST_VAR', 'dfsms/manage-products.php', 78, 'AST_VAR', 'dfsms/manage-products.php', 80, 'AST_VAR', 'dfsms/bwdate-report-ds.php', 13, 'AST_VAR', 'dfsms/bwdate-report-ds.php', 14, 'AST_VAR', 'dfsms/change-password.php', 14, 'AST_VAR', 'dfsms/change-password.php', 15, 'AST_VAR', 'dfsms/dashboard.php', 111, 'AST_VAR', 'dfsms/dashboard.php', 112, 'AST_VAR', 'dfsms/dashboard.php', 43, 'AST_VAR', 'dfsms/dashboard.php', 44, 'AST_VAR', 'dfsms/includes/navbar.php', 19, 'AST_VAR', 'dfsms/includes/navbar.php', 20, 'AST_VAR', 'dfsms/index.php', 9, 'AST_VAR', 'dfsms/index.php', 10, 'AST_VAR', 'dfsms/view-invoice.php', 11, 'AST_VAR', 'dfsms/view-invoice.php', 78, 'AST_VAR', 'dfsms/view-invoice.php', 80, 'AST_VAR', 'dfsms/view-invoice.php', 117, 'AST_VAR', 'dfsms/view-invoice.php', 119, 'AST_VAR', 'dfsms/search-product.php', 173, 'AST_VAR', 'dfsms/search-product.php', 175, 'AST_VAR', 'dfsms/search-product.php', 67]"
mysqli_query,"['AST_NAME', 'dfsms/profile.php', 16, 'AST_NAME', 'dfsms/profile.php', 84, 'AST_NAME', 'dfsms/sales-report-details.php', 11, 'AST_NAME', 'dfsms/sales-report-details.php', 86, 'AST_NAME', 'dfsms/sales-report-ds.php', 13, 'AST_NAME', 'dfsms/add-category.php', 14, 'AST_NAME', 'dfsms/add-company.php', 13, 'AST_NAME', 'dfsms/add-product.php', 16, 'AST_NAME', 'dfsms/add-product.php', 91, 'AST_NAME', 'dfsms/add-product.php', 107, 'AST_NAME', 'dfsms/bwdate-report-details.php', 11, 'AST_NAME', 'dfsms/bwdate-report-details.php', 90, 'AST_NAME', 'dfsms/invoice.php', 11, 'AST_NAME', 'dfsms/invoice.php', 77, 'AST_NAME', 'dfsms/invoice.php', 116, 'AST_NAME', 'dfsms/invoices.php', 11, 'AST_NAME', 'dfsms/invoices.php', 84, 'AST_NAME', 'dfsms/manage-categories.php', 11, 'AST_NAME', 'dfsms/manage-categories.php', 82, 'AST_NAME', 'dfsms/edit-category.php', 15, 'AST_NAME', 'dfsms/edit-category.php', 73, 'AST_NAME', 'dfsms/edit-company.php', 14, 'AST_NAME', 'dfsms/edit-company.php', 79, 'AST_NAME', 'dfsms/edit-product.php', 17, 'AST_NAME', 'dfsms/edit-product.php', 80, 'AST_NAME', 'dfsms/edit-product.php', 90, 'AST_NAME', 'dfsms/edit-product.php', 106, 'AST_NAME', 'dfsms/manage-companies.php', 11, 'AST_NAME', 'dfsms/manage-companies.php', 82, 'AST_NAME', 'dfsms/manage-products.php', 78, 'AST_NAME', 'dfsms/bwdate-report-ds.php', 13, 'AST_NAME', 'dfsms/change-password.php', 14, 'AST_NAME', 'dfsms/change-password.php', 17, 'AST_NAME', 'dfsms/dashboard.php', 111, 'AST_NAME', 'dfsms/dashboard.php', 133, 'AST_NAME', 'dfsms/dashboard.php', 155, 'AST_NAME', 'dfsms/dashboard.php', 177, 'AST_NAME', 'dfsms/dashboard.php', 43, 'AST_NAME', 'dfsms/dashboard.php', 67, 'AST_NAME', 'dfsms/dashboard.php', 90, 'AST_NAME', 'dfsms/includes/navbar.php', 19, 'AST_NAME', 'dfsms/index.php', 9, 'AST_NAME', 'dfsms/view-invoice.php', 11, 'AST_NAME', 'dfsms/view-invoice.php', 78, 'AST_NAME', 'dfsms/view-invoice.php', 117, 'AST_NAME', 'dfsms/search-product.php', 173, 'AST_NAME', 'dfsms/search-product.php', 16, 'AST_NAME', 'dfsms/search-product.php', 67]"
con,"['AST_VAR', 'dfsms/profile.php', 16, 'AST_VAR', 'dfsms/profile.php', 84, 'AST_VAR', 'dfsms/sales-report-details.php', 11, 'AST_VAR', 'dfsms/sales-report-details.php', 86, 'AST_VAR', 'dfsms/sales-report-ds.php', 13, 'AST_VAR', 'dfsms/add-category.php', 14, 'AST_VAR', 'dfsms/add-company.php', 13, 'AST_VAR', 'dfsms/add-product.php', 16, 'AST_VAR', 'dfsms/add-product.php', 91, 'AST_VAR', 'dfsms/add-product.php', 107, 'AST_VAR', 'dfsms/bwdate-report-details.php', 11, 'AST_VAR', 'dfsms/bwdate-report-details.php', 90, 'AST_VAR', 'dfsms/invoice.php', 11, 'AST_VAR', 'dfsms/invoice.php', 77, 'AST_VAR', 'dfsms/invoice.php', 116, 'AST_VAR', 'dfsms/invoices.php', 11, 'AST_VAR', 'dfsms/invoices.php', 84, 'AST_VAR', 'dfsms/manage-categories.php', 11, 'AST_VAR', 'dfsms/manage-categories.php', 82, 'AST_VAR', 'dfsms/edit-category.php', 15, 'AST_VAR', 'dfsms/edit-category.php', 73, 'AST_VAR', 'dfsms/edit-company.php', 14, 'AST_VAR', 'dfsms/edit-company.php', 79, 'AST_VAR', 'dfsms/edit-product.php', 17, 'AST_VAR', 'dfsms/edit-product.php', 80, 'AST_VAR', 'dfsms/edit-product.php', 90, 'AST_VAR', 'dfsms/edit-product.php', 106, 'AST_VAR', 'dfsms/manage-companies.php', 11, 'AST_VAR', 'dfsms/manage-companies.php', 82, 'AST_VAR', 'dfsms/manage-products.php', 78, 'AST_VAR', 'dfsms/bwdate-report-ds.php', 13, 'AST_VAR', 'dfsms/change-password.php', 14, 'AST_VAR', 'dfsms/change-password.php', 17, 'AST_VAR', 'dfsms/dashboard.php', 111, 'AST_VAR', 'dfsms/dashboard.php', 133, 'AST_VAR', 'dfsms/dashboard.php', 155, 'AST_VAR', 'dfsms/dashboard.php', 177, 'AST_VAR', 'dfsms/dashboard.php', 43, 'AST_VAR', 'dfsms/dashboard.php', 67, 'AST_VAR', 'dfsms/dashboard.php', 90, 'AST_VAR', 'dfsms/includes/config.php', 2, 'AST_VAR', 'dfsms/includes/navbar.php', 19, 'AST_VAR', 'dfsms/index.php', 9, 'AST_VAR', 'dfsms/view-invoice.php', 11, 'AST_VAR', 'dfsms/view-invoice.php', 78, 'AST_VAR', 'dfsms/view-invoice.php', 117, 'AST_VAR', 'dfsms/search-product.php', 173, 'AST_VAR', 'dfsms/search-product.php', 16, 'AST_VAR', 'dfsms/search-product.php', 67]"
update tbladmin set AdminName=',"['AST_ENCAPS_LIST', 'dfsms/profile.php', 16]"
"',MobileNumber='","['AST_ENCAPS_LIST', 'dfsms/profile.php', 16]"
"',Email='","['AST_ENCAPS_LIST', 'dfsms/profile.php', 16]"
' where id=',"['AST_ENCAPS_LIST', 'dfsms/profile.php', 16, 'AST_ENCAPS_LIST', 'dfsms/edit-category.php', 15, 'AST_ENCAPS_LIST', 'dfsms/edit-company.php', 14, 'AST_ENCAPS_LIST', 'dfsms/edit-product.php', 17]"
',"['AST_ENCAPS_LIST', 'dfsms/profile.php', 16, 'AST_ENCAPS_LIST', 'dfsms/profile.php', 84, 'AST_ENCAPS_LIST', 'dfsms/sales-report-details.php', 11, 'AST_ENCAPS_LIST', 'dfsms/bwdate-report-details.php', 11, 'AST_ENCAPS_LIST', 'dfsms/bwdate-report-details.php', 90, 'AST_ENCAPS_LIST', 'dfsms/invoice.php', 11, 'AST_ENCAPS_LIST', 'dfsms/invoice.php', 77, 'AST_ENCAPS_LIST', 'dfsms/invoice.php', 116, 'AST_ENCAPS_LIST', 'dfsms/invoices.php', 11, 'AST_ENCAPS_LIST', 'dfsms/manage-categories.php', 11, 'AST_ENCAPS_LIST', 'dfsms/edit-category.php', 15, 'AST_ENCAPS_LIST', 'dfsms/edit-category.php', 73, 'AST_ENCAPS_LIST', 'dfsms/edit-company.php', 14, 'AST_ENCAPS_LIST', 'dfsms/edit-product.php', 17, 'AST_ENCAPS_LIST', 'dfsms/edit-product.php', 80, 'AST_ENCAPS_LIST', 'dfsms/manage-companies.php', 11, 'AST_ENCAPS_LIST', 'dfsms/change-password.php', 14, 'AST_ENCAPS_LIST', 'dfsms/change-password.php', 17, 'AST_ENCAPS_LIST', 'dfsms/includes/navbar.php', 19, 'AST_ENCAPS_LIST', 'dfsms/view-invoice.php', 11, 'AST_ENCAPS_LIST', 'dfsms/view-invoice.php', 78, 'AST_ENCAPS_LIST', 'dfsms/view-invoice.php', 117, 'AST_ENCAPS_LIST', 'dfsms/search-product.php', 16]"
select * from tbladmin where id=',"['AST_ENCAPS_LIST', 'dfsms/profile.php', 84]"
